leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,1.30049516796,,,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.01,"Studying abroad 
with friends",0.05,Playing with a pet,,,,,0,0,0,45,,,,,,,,,,,1,2.68468587263,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",,,,,0,1,1,6,,,,,,,,,,,1,1.93473182525,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,2,2,22,,,,,,,,,,,2,1.23477975279,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,3,3,35,,,,,,,,,,,1,1.05117699178,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,4,4,34,,,,,,,,,,,1,0.684191358043,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,5,5,31,,,,,,,,,,,1,1.5014432678,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,6,6,43,,,,,,,,,,,2,1.90162950382,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,7,7,25,,,,,,,,,,,1,0.817434787052,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,8,8,46,,,,,,,,,,,1,1.76823118888,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.04,"Getting breakfast with 
a significant other",0.02,Listening to a podcast,,,,,0,9,9,27,,,,,,,,,,,2,2.20174461068,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,10,10,8,,,,,,,,,,,1,1.07706810581,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,11,11,41,,,,,,,,,,,2,1.18402667507,,,,,,,,,,,,,,,,,2018_Feb_09_1546,59.9805056426,newer wtp,001,1,
