leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,,,,,,,space,11.48629175,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,0,0,41,,,,,,,,,,,2,2.317554793,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,1,1,14,,,,,,,,,,,2,2.700996158,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.05,"Taking a road trip 
by yourself",0.03,"Traveling abroad with 
a significant other",,,,,0,2,2,30,,,,,,,,,,,2,3.101336971,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,3,3,49,,,,,,,,,,,1,2.050951822,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.03,"Going to a sporting
event with friends",0.05,Putting gas in a car,,,,,0,4,4,3,,,,,,,,,,,1,2.151002425,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,5,5,38,,,,,,,,,,,2,2.651253883,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,6,6,13,,,,,,,,,,,1,2.56773666,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.03,"Going on a 
dinner date",0.04,Getting a haircut,,,,,0,7,7,5,,,,,,,,,,,2,1.866973143,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,8,8,7,,,,,,,,,,,2,2.034436481,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.05,"Trying to solve a 
Rubik’s cube",0.03,"Going shopping with
a significant other",,,,,0,9,9,26,,,,,,,,,,,2,3.084784619,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,10,10,2,,,,,,,,,,,2,2.834576937,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,11,11,34,,,,,,,,,,,2,2.101403529,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.04,"Getting breakfast with 
a significant other",0.02,Listening to a podcast,,,,,0,12,12,27,,,,,,,,,,,1,1.851555694,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,13,13,21,,,,,,,,,,,1,3.151213295,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.01,"Giving a friend a ride
to school",0.05,"Listening to music
by yourself",,,,,0,14,14,42,,,,,,,,,,,2,2.817861923,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
