leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date
,,,,,,,,,,,,,,,,,,,,space,2.167488987,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,0,0,36,,,,,,,,,,,1,2.351646444,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,1,1,39,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,"Going to a nightclub with 
a group of friends",0.05,Writing journal entries,,,,,0,2,2,37,,,,,,,,,,,2,2.868033758,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.02,"Going on a double 
date",0.04,Doing your laundry,,,,,0,3,3,33,,,,,,,,,,,1,1.668132785,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,4,4,13,,,,,,,,,,,2,2.751681963,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,5,5,15,,,,,,,,,,,1,3.367826312,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.03,"Watching Netflix at home 
by yourself",0.03,"Meeting new people 
at a party",,,,,0,6,6,32,,,,,,,,,,,2,2.55149579,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,"Going to a carnival 
with friends",0.01,"Rearranging furniture 
in your house",,,,,0,7,7,23,,,,,,,,,,,1,3.718480312,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,8,8,44,,,,,,,,,,,2,2.068376061,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,9,9,2,,,,,,,,,,,1,3.334951538,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,"Studying abroad 
with friends",0.05,Playing with a pet,,,,,0,10,10,45,,,,,,,,,,,2,2.951916653,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.04,"Snapchatting with
friends",0.05,"Playing a videogame 
at home",,,,,0,11,11,19,,,,,,,,,,,1,2.318229262,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,12,12,14,,,,,,,,,,,1,3.134104772,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.05,"Having dinner with 
family",0.02,"Going grocery shopping 
alone",,,,,0,13,13,1,,,,,,,,,,,2,3.835147166,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.05,"Going camping 
with family",0.01,"Learning how to 
perform card tricks",,,,,0,14,14,29,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,15,15,21,,,,,,,,,,,2,2.067854801,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,16,16,0,,,,,,,,,,,1,1.717428153,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,17,17,10,,,,,,,,,,,1,2.801530312,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,18,18,46,,,,,,,,,,,2,2.585158673,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,19,19,11,,,,,,,,,,,1,3.485302113,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.05,Taking a nap,0.02,"Getting likes on a 
facebook post",,,,,0,20,20,28,,,,,,,,,,,2,1.601031881,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,21,21,20,,,,,,,,,,,2,1.968239898,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,22,22,18,,,,,,,,,,,1,2.651839397,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.05,"Taking a road trip 
by yourself",0.03,"Traveling abroad with 
a significant other",,,,,0,23,23,30,,,,,,,,,,,1,2.935131863,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,24,24,47,,,,,,,,,,,1,1.684428662,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",,,,,0,25,25,6,,,,,,,,,,,2,2.418337122,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,26,26,34,,,,,,,,,,,1,2.251881944,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,"Buying clothes 
for yourself",0.03,"Going to a party
with roommates",,,,,0,27,27,48,,,,,,,,,,,1,2.967992332,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,28,28,22,,,,,,,,,,,1,2.468284685,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,29,29,41,,,,,,,,,,,1,2.001289463,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,"Giving a friend a ride
to school",0.05,"Listening to music
by yourself",,,,,0,30,30,42,,,,,,,,,,,2,2.268259306,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,31,31,17,,,,,,,,,,,1,3.05201456,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.03,"Going on a 
dinner date",0.04,Getting a haircut,,,,,0,32,32,5,,,,,,,,,,,2,3.385235307,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,33,33,38,,,,,,,,,,,2,2.568389745,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,34,34,7,,,,,,,,,,,2,3.602371106,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,35,35,8,,,,,,,,,,,2,2.235068541,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,36,36,35,,,,,,,,,,,2,3.284143711,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.02,"Adding new friends
on facebook",0.01,Running a marathon,,,,,0,37,37,9,,,,,,,,,,,1,1.617694132,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.04,"Watching a football 
game from home",0.01,"Attending a family 
barbeque",,,,,0,38,38,4,,,,,,,,,,,1,1.967827495,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.03,"Teaching yourself a 
different language",0.03,"Joining a club 
at school",,,,,0,39,39,12,,,,,,,,,,,1,3.568441062,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,40,40,40,,,,,,,,,,,2,2.100961592,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,41,41,43,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,42,42,25,,,,,,,,,,,2,2.267841925,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.04,"Getting breakfast with 
a significant other",0.02,Listening to a podcast,,,,,0,43,43,27,,,,,,,,,,,2,1.817629627,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,44,44,49,,,,,,,,,,,2,2.250658727,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.04,"Trying out a new 
recipe at home",0.03,"Spending a day at the 
beach with a friend",,,,,0,45,45,16,,,,,,,,,,,1,2.401179115,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
0.03,"Going to a sporting
event with friends",0.05,Putting gas in a car,,,,,0,46,46,3,,,,,,,,,,,1,2.417409678,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp23,20,59.9610614,m,1,2018_Apr_20_1053
