leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date
,,,,,,,,,,,,,,,,,,,,space,2.167329289,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,0,0,40,,,,,,,,,,,1,3.734917283,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,1,1,2,,,,,,,,,,,2,2.984618629,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.02,"Adding new friends
on facebook",0.01,Running a marathon,,,,,0,2,2,9,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,3,3,34,,,,,,,,,,,2,2.267514563,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,4,4,15,,,,,,,,,,,1,1.967534748,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,5,5,36,,,,,,,,,,,2,2.101237134,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.05,"Going camping 
with family",0.01,"Learning how to 
perform card tricks",,,,,0,6,6,29,,,,,,,,,,,1,2.417645517,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.03,"Watching Netflix at home 
by yourself",0.03,"Meeting new people 
at a party",,,,,0,7,7,32,,,,,,,,,,,2,1.950929833,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,8,8,41,,,,,,,,,,,2,2.034166518,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,9,9,25,,,,,,,,,,,1,2.484206375,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,10,10,13,,,,,,,,,,,1,1.83360594,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,11,11,17,,,,,,,,,,,2,2.334363423,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.01,"Going to a carnival 
with friends",0.01,"Rearranging furniture 
in your house",,,,,0,12,12,23,,,,,,,,,,,1,2.201618971,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,13,13,22,,,,,,,,,,,2,2.134827337,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,14,14,14,,,,,,,,,,,2,1.600796889,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.02,"Going on a double 
date",0.04,Doing your laundry,,,,,0,15,15,33,,,,,,,,,,,1,1.567255827,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.05,"Trying to solve a 
Rubik’s cube",0.03,"Going shopping with
a significant other",,,,,0,16,16,26,,,,,,,,,,,2,1.667286525,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,17,17,21,,,,,,,,,,,1,2.267797278,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,18,18,11,,,,,,,,,,,1,2.350904579,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,19,19,8,,,,,,,,,,,2,1.38403261,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp05,20,60.1274077,f,1,2018_Feb_21_1030
