leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date
,,,,,,,,,,,,,,,,,,,,space,1.634349245,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.01,"Going to a carnival 
with friends",0.01,"Rearranging furniture 
in your house",,,,,0,0,0,23,,,,,,,,,,,1,3.001613549,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.04,"Watching a football 
game from home",0.01,"Attending a family 
barbeque",,,,,0,1,1,4,,,,,,,,,,,2,2.684680274,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,2,2,24,,,,,,,,,,,1,2.218663236,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",,,,,0,3,3,6,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,4,4,47,,,,,,,,,,,2,2.317769284,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,5,5,46,,,,,,,,,,,1,1.500682835,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,6,6,13,,,,,,,,,,,1,3.302033451,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,7,7,20,,,,,,,,,,,2,2.201770425,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.05,Taking a nap,0.02,"Getting likes on a 
facebook post",,,,,0,8,8,28,,,,,,,,,,,1,1.151070842,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.03,"Watching Netflix at home 
by yourself",0.03,"Meeting new people 
at a party",,,,,0,9,9,32,,,,,,,,,,,1,2.284416906,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,10,10,21,,,,,,,,,,,2,1.801525407,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.05,"Going camping 
with family",0.01,"Learning how to 
perform card tricks",,,,,0,11,11,29,,,,,,,,,,,1,2.502095778,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,12,12,22,,,,,,,,,,,2,3.001885687,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.01,"Going to a nightclub with 
a group of friends",0.05,Writing journal entries,,,,,0,13,13,37,,,,,,,,,,,2,2.051444465,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,14,14,43,,,,,,,,,,,1,2.118195873,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,15,15,34,,,,,,,,,,,2,1.934738668,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,16,16,2,,,,,,,,,,,2,2.268443146,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,17,17,18,,,,,,,,,,,1,1.334777482,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,18,18,15,,,,,,,,,,,1,3.618497403,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.03,"Going on a 
dinner date",0.04,Getting a haircut,,,,,0,19,19,5,,,,,,,,,,,1,1.98501558,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.05,"Having dinner with 
family",0.02,"Going grocery shopping 
alone",,,,,0,20,20,1,,,,,,,,,,,1,2.18449973,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,21,21,8,,,,,,,,,,,1,1.768160589,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,22,22,44,,,,,,,,,,,2,1.867879648,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,23,23,14,,,,,,,,,,,2,2.985313844,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.02,"Going on a double 
date",0.04,Doing your laundry,,,,,0,24,24,33,,,,,,,,,,,1,2.83468029,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,25,25,31,,,,,,,,,,,1,1.967997741,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,26,26,36,,,,,,,,,,,2,2.151197426,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.03,"Going to a sporting
event with friends",0.05,Putting gas in a car,,,,,0,27,27,3,,,,,,,,,,,1,3.518365004,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.02,"Adding new friends
on facebook",0.01,Running a marathon,,,,,0,28,28,9,,,,,,,,,,,1,2.88571266,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,29,29,38,,,,,,,,,,,2,2.768579527,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,30,30,11,,,,,,,,,,,1,2.934633855,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.03,"Teaching yourself a 
different language",0.03,"Joining a club 
at school",,,,,0,31,31,12,,,,,,,,,,,2,2.534964216,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.04,"Snapchatting with
friends",0.05,"Playing a videogame 
at home",,,,,0,32,32,19,,,,,,,,,,,1,2.217985533,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.05,"Trying to solve a 
Rubik’s cube",0.03,"Going shopping with
a significant other",,,,,0,33,33,26,,,,,,,,,,,2,2.651338782,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.05,"Taking a road trip 
by yourself",0.03,"Traveling abroad with 
a significant other",,,,,0,34,34,30,,,,,,,,,,,2,1.985329706,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,35,35,0,,,,,,,,,,,1,3.069061321,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,36,36,7,,,,,,,,,,,2,2.201548049,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,37,37,49,,,,,,,,,,,1,2.334850882,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,38,38,40,,,,,,,,,,,2,1.667870815,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,39,39,25,,,,,,,,,,,1,1.484341143,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,40,40,39,,,,,,,,,,,1,1.851803564,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,41,41,17,,,,,,,,,,,2,2.785290394,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,42,42,35,,,,,,,,,,,2,3.168324432,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.01,"Giving a friend a ride
to school",0.05,"Listening to music
by yourself",,,,,0,43,43,42,,,,,,,,,,,2,2.301362279,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
0.04,"Trying out a new 
recipe at home",0.03,"Spending a day at the 
beach with a friend",,,,,0,44,44,16,,,,,,,,,,,1,3.201598744,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp11,19,59.86904409,f,1,2018_Feb_26_1220
