choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,7.558738273000927,None,space,0.6524141260015313,7.558738273000927,None,,,,,,,,,,,,,,,,999,001,2019_Sep_24_1237,choiceText,3.1.5,60.7189721340936,
"Getting likes on a 
Facebook status",0,0,0,45,,,,,,,8.339481290997355,None,$0.60,22.078,0.05771313600416761,None,None,8.339481290997355,None,,,,,,,999,001,2019_Sep_24_1237,choiceText,3.1.5,60.7189721340936,
"Talking to a friend 
over Skype",0,1,1,12,,,,,,,30.45883748000051,None,$0.60,1.768,0.04293783799948869,None,None,30.45883748000051,None,,,,,,,999,001,2019_Sep_24_1237,choiceText,3.1.5,60.7189721340936,
"Working on a group
project with classmates",0,2,2,42,,,,,,,32.306151576995035,None,$0.40,1.85,0.043343518998881336,None,None,32.306151576995035,None,,,,,,,999,001,2019_Sep_24_1237,choiceText,3.1.5,60.7189721340936,
"Buying flowers for 
a significant other",0,3,3,5,,,,,,,34.20667705099913,None,$1.00,2.019,0.04033297699788818,None,None,34.20667705099913,None,,,,,,,999,001,2019_Sep_24_1237,choiceText,3.1.5,60.7189721340936,
"Going to a coffee 
shop with friends",0,4,4,9,,,,,,,36.287898028997006,None,$0.80,0.623,0.03987232800136553,None,None,36.287898028997006,None,,,,,,,999,001,2019_Sep_24_1237,choiceText,3.1.5,60.7189721340936,
"Eating dinner at a
restaurant with friends ",0,5,5,14,,,,,,,36.97127703799924,None,$0.60,0.49,0.041087393001362216,None,None,36.97127703799924,None,,,,,,,999,001,2019_Sep_24_1237,choiceText,3.1.5,60.7189721340936,
"Learning to drive 
with a family member",0,6,6,46,,,,,,,37.529755021998426,None,$0.40,0.45,0.04385421500046505,None,None,37.529755021998426,None,,,,,,,999,001,2019_Sep_24_1237,choiceText,3.1.5,60.7189721340936,
"Planning a surprise 
party for a family member",0,7,7,4,,,,,,,38.04438404100074,None,$0,1.017,0.04611738200037507,None,None,38.04438404100074,None,,,,,,,999,001,2019_Sep_24_1237,choiceText,3.1.5,60.7189721340936,
"Going to a street fair
with friends",0,8,8,40,,,,,,,39.1232643359981,None,$0.20,0.623,0.03731570100353565,None,None,39.1232643359981,None,,,,,,,999,001,2019_Sep_24_1237,choiceText,3.1.5,60.7189721340936,
