selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response2.keys,response2.rt,response3.keys,response3.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,6.88495906879,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,0,0,5,0,0,0,0,,,,,,,1,1.71751667743,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,0,0,5,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,1,1,11,,,,,0,0,0,0,,,,,2,0.467161264378,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,1,1,11,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,2,2,4,0,0,0,0,,,,,,,2,0.300258796065,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,2,2,4,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,3,3,0,0,0,0,0,,,,,,,2,0.450308263093,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,3,3,0,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,4,4,23,0,0,0,0,,,,,,,2,0.900930340907,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,4,4,23,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,5,5,6,0,0,0,0,,,,,,,2,1.45061399141,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,5,5,6,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,6,6,1,,,,,0,0,0,0,,,,,None,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,6,6,1,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,7,7,19,0,0,0,0,,,,,,,2,1.38393069578,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,7,7,19,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,8,8,9,,,,,0,0,0,0,,,,,2,1.88401420346,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,8,8,9,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,9,9,2,0,0,0,0,,,,,,,2,1.75069861875,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,9,9,2,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,10,10,15,,,,,0,0,0,0,,,,,2,0.800587073011,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,10,10,15,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,11,11,22,0,0,0,0,,,,,,,2,0.284313338245,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,11,11,22,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,12,12,7,0,0,0,0,,,,,,,None,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,12,12,7,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,13,13,12,0,0,0,0,,,,,,,2,1.25045867023,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,13,13,12,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,14,14,16,0,0,0,0,,,,,,,2,0.267259731911,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,14,14,16,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,15,15,13,0,0,0,0,,,,,,,2,0.233800986728,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,15,15,13,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,16,16,17,,,,,0,0,0,0,,,,,2,0.300351789723,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,16,16,17,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,17,17,18,,,,,0,0,0,0,,,,,2,0.300845682466,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,17,17,18,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,18,18,3,,,,,0,0,0,0,,,,,2,0.767604803698,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,18,18,3,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,19,19,8,,,,,0,0,0,0,,,,,2,1.76793354717,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,19,19,8,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,20,20,10,,,,,0,0,0,0,,,,,1,1.05043739676,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,20,20,10,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,21,21,14,,,,,0,0,0,0,,,,,2,1.85061486225,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,21,21,14,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,22,22,21,,,,,0,0,0,0,,,,,2,0.883719049673,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
2,0,22,22,21,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,23,23,20,0,0,0,0,,,,,,,2,1.58472422093,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,23,23,20,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,24,24,24,0,0,0,0,,,,,,,2,0.850623570689,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
1,0,24,24,24,,,,,,,,,,,,,,,,,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
,,,,,,,,,,,,,,,,,,,space,12.6377088353,2020_Jan_03_1237,59.8752874794,Experiment1,001,001,
