Subject ,Age,Sex,Condition,rightprice,leftprice,response,,rightexp,leftexp,chosenexp,chosentype,rt,social over non ,nonsocial over social ,friends over fam,fam over s/o,s/o over friends,fam over friends,friends over s/o,s/o over fam,enjoy
wtp01,18,0,0,0.05,0.03,NA,NA,"Going to a sporting
event with friends",Putting gas in a car,NA,NA,NA,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.05,0.01,1,0.05,"Giving a friend a ride
to school","Listening to music
by yourself","Listening to music
by yourself",1,2.884675638,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.01,0.04,NA,NA,"Going to a work outing
with colleagues","Going on vacation 
by yourself",NA,NA,NA,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.04,0.01,1,0.04,"Getting breakfast
by yourself","Gaining Instagram
followers","Gaining Instagram
followers",0,2.351672792,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.05,0.03,1,0.05,"Cleaning up around 
the house","Playing a tennis match
 with a friend","Playing a tennis match
 with a friend",0,2.634944124,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.03,0.01,1,0.03,Drawing a picture,"Getting likes on an 
Instagram picture","Getting likes on an 
Instagram picture",0,1.900785413,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.03,0.02,2,0.02,Exercising from home,"Attending a Superbowl 
party",Exercising from home,1,2.851571867,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.02,0.03,1,0.02,"Going to a family 
member’s baby shower",Watching the news,Watching the news,1,2.250847445,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.03,0.05,2,0.05,"Trying to solve a 
Rubik’s cube","Going shopping with
a significant other","Trying to solve a 
Rubik’s cube",1,2.618471703,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.03,0.02,1,0.03,"Shopping for clothes
with friends","Going to the beach 
alone","Going to the beach 
alone",1,2.000769146,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.01,0.01,1,0.01,"Going to a carnival 
with friends","Rearranging furniture 
in your house","Rearranging furniture 
in your house",1,1.984251317,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.02,0.02,1,0.02,"Having a picnic 
with family","Watching a new 
episode of a television 
show","Watching a new 
episode of a television 
show",1,2.567676945,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.05,0.01,1,0.05,"Buying coffee on 
the way to work","Getting retweets 
on a picture","Getting retweets 
on a picture",0,2.118308264,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.04,0.02,1,0.04,"Going on a double 
date",Doing your laundry,Doing your laundry,1,2.101059543,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.01,0.05,1,0.01,"Going on Spring Break 
vacation with friends","Going for a bicycle
ride alone","Going for a bicycle
ride alone",1,2.184410993,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.05,0.02,2,0.02,"Practicing an
 instrument","Attending a family member’s 
wedding","Practicing an
 instrument",1,2.984574464,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.01,0.02,2,0.02,"Adding new friends
on facebook",Running a marathon,"Adding new friends
on facebook",0,1.984240431,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.04,0.04,2,0.04,"Reading news 
articles","Watching television
with family","Reading news 
articles",1,1.850530269,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.01,0.05,1,0.01,"Going camping 
with family","Learning how to 
perform card tricks","Learning how to 
perform card tricks",1,1.717514298,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.01,0.05,2,0.05,"Putting together 
a puzzle","Going to the movies 
with a friend","Putting together 
a puzzle",1,1.833942461,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.05,0.04,1,0.05,"Snapchatting with
friends","Playing a videogame 
at home","Playing a videogame 
at home",1,2.000723738,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.05,0.01,1,0.05,"Going to a nightclub with 
a group of friends",Writing journal entries,Writing journal entries,1,2.267574589,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.02,0.03,1,0.02,"Getting a slice of pizza 
by yourself",Joining a study group,Joining a study group,0,3.334843634,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.02,0.04,1,0.02,"Getting breakfast with 
a significant other",Listening to a podcast,Listening to a podcast,1,2.967591353,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.02,0.05,1,0.02,"Having dinner with 
family","Going grocery shopping 
alone","Going grocery shopping 
alone",1,2.267746582,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.04,0.02,2,0.02,Practicing photography,"Going to a concert 
with a friend",Practicing photography,1,1.850987465,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.02,0.01,2,0.01,"Watching YouTube
videos","Making breakfast 
for your family","Watching YouTube
videos",1,2.001019204,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.03,0.05,1,0.03,"Participating in 
a debate","Going to a museum 
alone","Going to a museum 
alone",1,3.151134296,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.04,0.03,1,0.04,"Going on a 
dinner date",Getting a haircut,Getting a haircut,1,1.750759272,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.01,0.03,2,0.03,Shopping online,"Catching up with friends 
from high school",Shopping online,1,1.717235316,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.04,0.01,1,0.04,"Having a movie marathon 
with a roommate","Looking through old 
photo albums","Looking through old 
photo albums",1,3.184719523,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.05,0.01,1,0.05,"Studying abroad 
with friends",Playing with a pet,Playing with a pet,1,2.184260461,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.03,0.04,1,0.03,"Taking an online
class","Gaining Twitter
followers ","Gaining Twitter
followers ",0,2.451175382,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.05,0.02,1,0.05,"Going to the movies
with a significant other","Driving to school
by yourself","Driving to school
by yourself",1,2.500950625,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.03,0.04,2,0.04,"Trying out a new 
recipe at home","Spending a day at the 
beach with a friend","Trying out a new 
recipe at home",1,2.668025502,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.01,0.04,2,0.04,"Watching a football 
game from home","Attending a family 
barbeque","Watching a football 
game from home",1,3.651461953,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.02,0.01,1,0.02,"Playing cards with 
friends",Studying for a test alone,Studying for a test alone,1,2.901608054,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.01,0.02,1,0.01,"Getting lunch with 
coworkers","Going to a farmer's
market by yourself","Going to a farmer's
market by yourself",1,2.634465468,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.01,0.05,1,0.01,"Going for a walk 
in the park",Playing a team sport,Playing a team sport,0,2.517756768,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.01,0.04,1,0.01,"Babysitting for a 
family member","Going on a hike 
by yourself","Going on a hike 
by yourself",1,2.984370126,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.02,0.05,2,0.05,"Planting flowers 
in a garden","Taking a road trip 
with family","Planting flowers 
in a garden",1,1.934205489,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.02,0.02,1,0.02,"Having a romantic dinner 
with a significant other","Painting your bedroom
a new color","Painting your bedroom
a new color",1,2.384278002,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.03,0.01,2,0.01,"Buying clothes 
for yourself","Going to a party
with roommates","Buying clothes 
for yourself",1,2.83446186,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.02,0.05,1,0.02,Taking a nap,"Getting likes on a 
facebook post","Getting likes on a 
facebook post",0,2.001353237,6,3,4,4,5,4,3,4,6
wtp01,18,0,0,0.03,0.03,2,0.03,"Teaching yourself a 
different language","Joining a club 
at school","Teaching yourself a 
different language",1,3.301344871,6,3,4,4,5,4,3,4,6
