uniqueCode,spacebar.keys,spacebar.rt,spacebar3.keys,spacebar3.rt,resp.keys,resp.rt,exResponses.keys,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,example.ran,example.order,LeftEx,RightEx,LMoneyEx,RMoneyEx,Participant ID *,Age *,Sex *,date,expName,psychopyVersion,frameRate,exResponses.rt,responses.keys,responses.rt,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Left,Right,leftmoney,rightmoney,greenText,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slider3.response,slider3.rt,slideKeys3.rt,slider4.response,slider4.rt,slideKeys4.rt,slider6.response,slider6.rt,slideKeys6.rt,slider5.response,slider5.rt,slideKeys5.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
738805,space,3.083999872,space,2.618000031,space,1.102999926,,1,0,3,1,1,2,"Helping a friend
study for a test","Watching television
at home",$0.01 ,$0.04 ,5bddf0f876219d00014b145e,21,female,2019-11-04_15h23.20.311,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,3,0,1,2,"Going to a family
barbeque","Going shopping
by yourself",$0.03 ,$0.02 ,5bddf0f876219d00014b145e,21,female,2019-11-04_15h23.20.311,newer wtp (1),3.1.2,60,1.842000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,3,2,1,2,"Going for a run
by yourself","Having lunch with
a significant other",$0.05 ,$0.05 ,5bddf0f876219d00014b145e,21,female,2019-11-04_15h23.20.311,newer wtp (1),3.1.2,60,1.306999922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bddf0f876219d00014b145e,21,female,2019-11-04_15h23.20.311,newer wtp (1),3.1.2,60,,1,0.707000017,1,0,50,36,1,49,"Watching the sunset 
with a significant other",Reading at the library,$0.02 ,$0.05 ,green,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bddf0f876219d00014b145e,21,female,2019-11-04_15h23.20.311,newer wtp (1),3.1.2,60,,,,1,0,50,0,1,49,"Going to the movies 
with a friend","Putting together 
a puzzle",$0.05 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bddf0f876219d00014b145e,21,female,2019-11-04_15h23.20.311,newer wtp (1),3.1.2,60,,2,0.957000017,1,0,50,34,1,49,"Seeing a play with a 
significant other","Going to the movies 
by yourself",$0.03 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bddf0f876219d00014b145e,21,female,2019-11-04_15h23.20.311,newer wtp (1),3.1.2,60,,1,0.508999825,1,0,50,19,1,49,"Playing a videogame 
at home","Snapchatting with
friends",$0.04 ,$0.05 ,green,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bddf0f876219d00014b145e,21,female,2019-11-04_15h23.20.311,newer wtp (1),3.1.2,60,,2,2.738999844,1,0,50,48,1,49,"Going to a party
with roommates","Buying clothes 
for yourself",$0.01 ,$0.03 ,green,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bddf0f876219d00014b145e,21,female,2019-11-04_15h23.20.311,newer wtp (1),3.1.2,60,,1,1.765000105,1,0,50,13,1,49,"Going for a bicycle
ride alone","Going on Spring Break 
vacation with friends",$0.05 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bddf0f876219d00014b145e,21,female,2019-11-04_15h23.20.311,newer wtp (1),3.1.2,60,,2,0.940000057,1,0,50,28,1,49,"Getting likes on a 
facebook post",Taking a nap,$0.05 ,$0.02 ,green,,,,,,,,,,,,,,,,,,,,,,,,,
