uniqueCode,spacebar.keys,spacebar.rt,spacebar3.keys,spacebar3.rt,resp.keys,resp.rt,responses.keys,responses.rt,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Left,Right,leftmoney,rightmoney,greenText,Participant ID *,Age *,Sex *,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slider3.response,slider3.rt,slideKeys3.rt,slider4.response,slider4.rt,slideKeys4.rt,slider6.response,slider6.rt,slideKeys6.rt,slider5.response,slider5.rt,slideKeys5.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
563177,space,3.285000086,space,15.05900002,return,1.987999916,1,2.687000036,1,0,50,25,1,49,"Painting your bedroom
a new color","Having a romantic dinner 
with a significant other",$0.02 ,$0.02 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.167000055,1,0,50,21,1,49,Studying for a test alone,"Playing cards with 
friends",$0.01 ,$0.02 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.915999889,1,0,50,49,1,49,"Gaining Twitter
followers ","Taking an online
class",$0.04 ,$0.03 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.450999975,1,0,50,24,1,49,Joining a study group,"Getting a slice of pizza 
by yourself",$0.03 ,$0.02 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.787999868,1,0,50,30,1,49,"Traveling abroad with 
a significant other","Taking a road trip 
by yourself",$0.05 ,$0.03 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.851999998,1,0,50,11,1,49,"Going on vacation 
by yourself","Going to a work outing
with colleagues",$0.04 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,0,50,34,1,49,"Seeing a play with a 
significant other","Going to the movies 
by yourself",$0.03 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.944999933,1,0,50,26,1,49,"Going shopping with
a significant other","Trying to solve a 
Rubik’s cube",$0.05 ,$0.03 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.726000071,1,0,50,7,1,49,Reading a book,"Going to a friend’s 
birthday party",$0.01 ,$0.04 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.775000095,1,0,50,17,1,49,"Watching a new 
episode of a television 
show","Having a picnic 
with family",$0.02 ,$0.02 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.552999973,1,0,50,8,1,49,Playing a team sport,"Going for a walk 
in the park",$0.05 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.726999998,1,0,50,10,1,49,"Going to a concert 
with a friend",Practicing photography,$0.02 ,$0.04 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.618000031,1,0,50,47,1,49,"Watching television
with family","Reading news 
articles",$0.04 ,$0.04 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.511999846,1,0,50,4,1,49,"Attending a family 
barbeque","Watching a football 
game from home",$0.04 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.809000015,1,0,50,12,1,49,"Joining a club 
at school","Teaching yourself a 
different language",$0.03 ,$0.03 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.713000059,1,0,50,22,1,49,"Attending a Superbowl 
party",Exercising from home,$0.02 ,$0.03 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.748000145,1,0,50,32,1,49,"Meeting new people 
at a party","Watching Netflix at home 
by yourself",$0.03 ,$0.03 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
