uniqueCode,spacebar.keys,spacebar.rt,spacebar3.keys,spacebar3.rt,resp.keys,resp.rt,responses.keys,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Left,Right,leftmoney,rightmoney,greenText,Participant ID *,Age *,Sex *,date,expName,psychopyVersion,frameRate,responses.rt,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slider3.response,slider3.rt,slideKeys3.rt,slider4.response,slider4.rt,slideKeys4.rt,slider6.response,slider6.rt,slideKeys6.rt,slider5.response,slider5.rt,slideKeys5.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
374957,space,3.958999872,space,0.900000095,return,1.035000086,,1,0,50,44,1,49,"Gaining Instagram
followers","Getting breakfast
by yourself",$0.01 ,$0.04 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,50,46,1,49,"Driving to school
by yourself","Going to the movies
with a significant other",$0.02 ,$0.05 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,14,1,49,"Taking a road trip 
with family","Planting flowers 
in a garden",$0.05 ,$0.02 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,2.475000143,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,0,1,49,"Going to the movies 
with a friend","Putting together 
a puzzle",$0.05 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.525000095,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,17,1,49,"Watching a new 
episode of a television 
show","Having a picnic 
with family",$0.02 ,$0.02 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,2.539999962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,38,1,49,"Playing a tennis match
 with a friend","Cleaning up around 
the house",$0.03 ,$0.05 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.607000113,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,27,1,49,Listening to a podcast,"Getting breakfast with 
a significant other",$0.04 ,$0.02 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.32799983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,4,1,49,"Attending a family 
barbeque","Watching a football 
game from home",$0.04 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.822999954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,30,1,49,"Traveling abroad with 
a significant other","Taking a road trip 
by yourself",$0.05 ,$0.03 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.673000097,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,2,1,49,"Attending a family member’s 
wedding","Practicing an
 instrument",$0.02 ,$0.05 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.705999851,,,,,,,,,,,,,,,,,,,,,,,,,
